SC - Águas de Chapecó
Mês|Minima (°C)|Máxima (°C)|Precipitação (mm)|
Janeiro|20°|31°|159|
Fevereiro|20°|31°|173|
Março|19°|31°|123|
Abril|17°|27°|169|
Maio|13°|22°|179|
Junho|13°|21°|153|
Julho|12°|21°|154|
Agosto|13°|23°|124|
Setembro|14°|24°|172|
Outubro|17°|27°|227|
Novembro|17°|28°|159|
Dezembro|19°|30°|161|
